Country,Country Code,Continent,Land area,Population,Population growth,GDP per capita,Income Group,Industry,Life expectancy,Birth rate,Death rate
Saudi Arabia,SAU,Asia,2149690.00,35950396.00,-0.129847471,24315.62,High income,Manufacturing,76.94,17.47,2.86
Senegal,SEN,Africa,192530.00,16876720.00,2.645380545,1633.56,Lower middle income,"Technology, Information and Media",67.09,32.57,5.92
Serbia,SRB,Europe,84090.00,6834326.00,-0.94368817,9232.96,Upper middle income,Manufacturing,72.73,9.1,20
Seychelles,SYC,Africa,460.00,99258.00,0.805183391,12963.06,Upper middle income,Tourism and Hospitality,73.4,16.8,9.3
Sierra Leone,SLE,Africa,72180.00,8420641.00,2.241767371,504.62,Low income,Mining and Minerals,60.06,31.36,9.11
Singapore,SGP,Asia,718.00,5453566.00,-4.1703363,77710.09,High income,Manufacturing,83.44,8.6,5.8
Sint Maarten (Dutch part),SXM,North America,34.00,42668.00,0.842576003,31711.61,High income,Tourism and Hospitality,73.97,10.5,6.4
Slovak Republic,SVK,Europe,48080.00,5447247.00,-0.212358808,21768.15,High income,Automotive,74.71,10.4,13.5
Slovenia,SVN,Europe,20136.40,2108079.00,0.26885197,29331.06,High income,Manufacturing,80.88,9,11
Solomon Islands,SLB,Oceania,27990.00,707851.00,2.3817423,2232.54,Lower middle income,Agriculture and Food Services,70.35,29.79,5.03
Somalia,SOM,Africa,627340.00,17065581.00,3.146236588,576.52,Low income,Agriculture and Food Services,55.28,43.56,11.6
South Africa,ZAF,Africa,1213090.00,59392255.00,0.998920419,7073.61,Upper middle income,Manufacturing,62.34,19.82,11.43
South Sudan,SSD,Africa,631930.00,10748272.00,1.3303716,421.86,Low Income,Oil and Petroleum,54.98,29.11,11.05
Spain,ESP,Europe,499733.24,47415794.00,0.105799194,30488.82,High income,Manufacturing,83.18,7.1,9.5
Sri Lanka,LKA,Asia,61860.00,22156000.00,1.075449957,3996.57,Lower middle income,IT Services and IT Consulting,76.4,14.02,7.36
St. Kitts and Nevis,KNA,North America,260.00,47606.00,-0.075592142,18035.39,High income,Tourism and Hospitality,71.68,12.13,10.18
St. Lucia,LCA,North America,610.00,179651.00,0.230712748,10916.23,Upper middle income,Tourism and Hospitality,71.11,11.49,10.3
St. Martin (French part),MAF,North America,50.00,31948.00,-1.875994925,20320.72,Low Income,Tourism and Hospitality,80.38,15.05,4.91
St. Vincent and the Grenadines,VCT,North America,390.00,104332.00,-0.287130995,8360.06,Upper middle income,Tourism and Hospitality,69.63,12.9,13.43
Sudan,SDN,Africa,1868000.00,45657202.00,2.70104594,749.71,Low income,Oil and Petroleum,65.27,33.6,6.8
Suriname,SUR,South America,156000.00,612985.00,0.970459647,5026.88,Upper middle income,Mining and Minerals,70.27,18.15,8.67
Sweden,SWE,Europe,407283.54,10415811.00,0.600591533,61417.68,High income,Manufacturing,83.16,11,8.8
Switzerland,CHE,Europe,39509.63,8704546.00,0.765501039,93446.43,High income,Retail,83.85,10.3,8.2
Syrian Arab Republic,SYR,Asia,183630.00,21324367.00,2.621583957,420.62,Low Income,Oil and Petroleum,72.06,20.11,5.12
Tajikistan,TJK,Asia,138790.00,9750064.00,2.14442566,916.69,Lower middle income,Mining and Minerals,71.59,26.75,4.55
Tanzania,TZA,Africa,885800.00,63588334.00,3.007287233,1146.03,Lower middle income,Administrative and Support Services,66.2,36.21,6.22
Thailand,THA,Asia,510890.00,71601103.00,0.175345075,7060.90,Upper middle income,Manufacturing,78.72,9,7.92
Timor-Leste,TLS,Asia,14870.00,1320942.00,1.598470014,2741.95,Lower middle income,Manufacturing,67.74,24.94,7.23
Togo,TGO,Africa,54390.00,8644829.00,2.367338962,976.67,Low income,Mining and Minerals,61.62,31.86,8.17
Tonga,TON,Oceania,720.00,106017.00,0.722298202,4425.97,Low Income,Tourism and Hospitality,70.99,23.05,6.97
Trinidad and Tobago,TTO,North America,5130.00,1525663.00,0.493855745,16056.30,High income,Oil and Petroleum,72.97,11.69,9.13
